"","Treatment","SproutN","BunchN","GrapeW","WoodW","SPAD06","NDVI06","SPAD08","NDVI08","Acid","Potass","Brix","pH","Anthoc","Polyph"
"1","T8a",0.304414666139528,-0.157358525038734,-0.137528860511214,0.0849497763079759,-0.0640114959418762,0.0949464003953897,-0.0144461702789885,0.0720810465393688,-0.141927896428429,0.172525770780066,-0.00334081667179817,0.0309030516313449,0.215776823779323,0.0708375940129143
"2","T6b",0.00435890153375448,-0.584384147138675,-0.151059977444015,-0.564969263810443,-0.104755266189814,0.0210147230970314,-0.169192242905609,-0.0677703210981064,-0.328482558505711,0.145816752364353,0.108052047168126,0.0900505306837998,-0.192044727976619,-0.298948299074665
"3","T1b",-0.199242863346925,-0.163261560094601,0.0751151094742401,0.293354189599442,0.00151799370449014,0.0225618024486067,-0.00589641130442932,0.0470100504965831,-0.087712081008841,-0.0891958601068368,0.00480154096458755,0.0514942255271724,-0.12401187985536,-0.0441929205645641
"4","T7b",0.0578447349170631,0.191752243399076,0.163716201157467,-0.167833355356393,-0.0588168983667454,0.0136212801935238,0.0174101064908704,0.0789013201721419,-0.0734278659123012,0.10054186652532,-0.0717716096934864,-0.0109936789949782,0.399589604294899,0.0704623773257035
"5","T7b",0.129379166550155,0.389369222102432,-0.0615759511224812,0.00307266544990141,-0.0948248482131631,0.0562302126987309,-0.069262075533894,0.131796466252224,0.0281115669088488,-0.0977855632408402,0.0752823059989767,0.0184036777333146,0.485081543571227,0.498494141788031
"6","T4a",-0.0758613320485555,-0.0316267921614115,-0.255649235627996,0.122907662138226,0.0665303450970737,0.0599713456602405,0.0876655780087746,0.0133472356145395,-0.110301301826659,-0.0631124368088645,0.118031769936746,0.0504436460953136,0.357380786570645,0.470995555862676
"7","T4b",0.132258623791772,0.156848994815074,0.926966999519412,0.178128130171734,0.17569358980496,0.0331487952230789,0.0565004649039508,0.0532347477164914,-0.288087999220667,0.0655403596630189,0.0119244501569271,0.0835667577910987,-0.349676742355291,-0.29244912322952
"8","T2b",-0.197323184787984,-0.442289471479091,-0.821716824105621,-0.132694443664112,-0.0892132244947706,-0.162549081868273,-0.170622155434267,-0.0474437765003279,0.334478724269575,-0.114255380057129,0.00522403942907662,-0.0613393445253192,0.35633194484016,0.530702037961394
"9","T4a",-0.547522250096848,-0.401438363858186,-1.36246376467936,-1.45360838174598,-0.372679008693859,-0.224314188560109,-0.340871389973197,-0.33301951079463,0.398138418595581,-0.18994864618021,-0.0360107479000824,-0.104255059776082,0.744237447512885,0.325269165101292
"10","T4a",-0.189516452007565,-0.38765067898401,-0.11004809965025,-0.316327873723925,0.0558668162539629,0.0512260757741591,-0.0855764954380784,-0.15502561518203,-0.00161592672367283,0.254781092736901,0.0211787452782955,0.0160885149165132,0.199584983144713,0.169197186756617
